timestamp,src_ip,dst_ip,predicted_label,probability
2024-04-18 18:22:30,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:22:30,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:22:30,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:22:30,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:22:30,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:22:30,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:22:30,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:22:30,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:22:30,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:22:30,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:22:30,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:02,192.168.0.25,125.209.230.135,DOS,99.00%
2024-04-18 18:24:02,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:02,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:24:02,192.168.0.25,125.209.230.135,DOS,99.00%
2024-04-18 18:24:02,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:02,125.209.230.135,192.168.0.25,NORMAL,99.00%
2024-04-18 18:24:02,125.209.230.135,192.168.0.25,NORMAL,99.00%
2024-04-18 18:24:02,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:02,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:02,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:24:02,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:24:02,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:24:02,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:24:02,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:24:02,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:02,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:02,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:02,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:24:02,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:02,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:24:02,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:24:02,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:02,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:02,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:24:02,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:06,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:24:06,125.209.230.135,192.168.0.25,PROBE,80.00%
2024-04-18 18:24:06,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:24:32,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:24:32,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:32,192.168.0.25,125.209.230.135,DOS,58.00%
2024-04-18 18:24:32,192.168.0.25,125.209.230.135,DOS,81.00%
2024-04-18 18:24:32,125.209.230.135,192.168.0.25,NORMAL,92.00%
2024-04-18 18:24:32,125.209.230.135,192.168.0.25,NORMAL,97.00%
2024-04-18 18:24:32,125.209.230.135,192.168.0.25,NORMAL,99.00%
2024-04-18 18:24:32,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:32,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:32,192.168.0.25,125.209.230.135,DOS,71.00%
2024-04-18 18:24:32,192.168.0.25,125.209.230.135,DOS,79.00%
2024-04-18 18:24:32,192.168.0.25,125.209.230.135,DOS,79.00%
2024-04-18 18:24:32,192.168.0.25,125.209.230.135,DOS,76.00%
2024-04-18 18:24:32,192.168.0.25,125.209.230.135,DOS,71.00%
2024-04-18 18:24:32,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:32,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:32,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:32,192.168.0.25,125.209.230.135,DOS,71.00%
2024-04-18 18:24:32,192.168.0.25,125.209.230.135,DOS,66.00%
2024-04-18 18:24:32,192.168.0.25,125.209.230.135,DOS,58.00%
2024-04-18 18:24:32,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:32,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:24:32,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:24:32,125.209.230.135,192.168.0.25,NORMAL,100.00%
